Date,Adj Close,Log Difference
9/20/2006,23.282972,
9/21/2006,23.189838,-0.004008112
9/22/2006,23.096708,-0.004024069
9/25/2006,23.282972,0.008032181
9/26/2006,23.310913,0.001199342
9/27/2006,23.236406,-0.003201347
9/28/2006,23.264345,0.001201658
9/29/2006,23.282972,0.000800347
10/2/2006,23.292284,0.000399869
10/3/2006,23.282972,-0.000399869
10/4/2006,23.413355,0.005584308
10/5/2006,23.42267,0.000397771
10/6/2006,23.543741,0.005155653
10/9/2006,23.674126,0.005522712
10/10/2006,23.702065,0.001179453
10/11/2006,23.702065,0
10/12/2006,23.767256,0.00274666
10/13/2006,23.823135,0.002348332
10/16/2006,23.795197,-0.001173414
10/17/2006,23.813822,0.000782415
10/18/2006,23.869701,0.002343746
10/19/2006,23.767256,-0.004301079
10/20/2006,23.767256,0
10/23/2006,23.832449,0.00273922
10/24/2006,23.879015,0.001951984
10/25/2006,23.804508,-0.003125065
10/26/2006,23.636871,-0.007067151
10/27/2006,23.646185,0.000393968
10/30/2006,23.702065,0.002360384
10/31/2006,23.730003,0.001178022
11/1/2006,23.767256,0.001568638
11/2/2006,23.767256,0
11/3/2006,23.832449,0.00273922
11/6/2006,23.86039,0.001171706
11/7/2006,23.795197,-0.002736008
11/8/2006,23.739317,-0.002351135
11/9/2006,23.599619,-0.005902051
11/10/2006,23.53443,-0.002766113
11/13/2006,23.515802,-0.000791835
11/14/2006,23.47855,-0.001585382
11/15/2006,23.497173,0.000792878
11/16/2006,23.646185,0.006321675
11/17/2006,23.636871,-0.000393968
11/20/2006,23.72069,0.00353984
11/21/2006,23.72069,0
11/22/2006,23.571682,-0.006301587
11/24/2006,23.33885,-0.009926722
11/27/2006,23.264345,-0.003197423
11/28/2006,23.413355,0.006384655
11/29/2006,23.404043,-0.000397801
11/30/2006,23.413355,0.000397801
12/1/2006,23.320227,-0.00398549
12/4/2006,23.366793,0.001994816
12/5/2006,23.273657,-0.003993792
12/6/2006,23.376104,0.004392184
12/7/2006,23.329535,-0.00199415
12/8/2006,23.543741,0.009139856
12/11/2006,23.571682,0.001186066
12/12/2006,23.571682,0
12/13/2006,23.692751,0.00512306
12/14/2006,23.804508,0.004705838
12/15/2006,23.934895,0.005462461
12/18/2006,23.916225,-0.000780337
12/19/2006,23.878885,-0.001562503
12/20/2006,23.9629,0.003512205
12/21/2006,23.92556,-0.001559457
12/22/2006,24.074923,0.006223416
12/26/2006,24.102926,0.001162485
12/27/2006,24.186941,0.003479615
12/28/2006,24.270954,0.003467467
12/29/2006,24.224279,-0.001924932
1/3/2007,24.345634,0.004997137
1/4/2007,24.364304,0.000766579
1/5/2007,24.158934,-0.008464861
1/8/2007,24.224279,0.002701145
1/9/2007,24.401644,0.007295112
1/10/2007,24.382975,-0.000765364
1/11/2007,24.588345,0.008387407
1/12/2007,24.513666,-0.003041792
1/16/2007,24.569674,0.00228216
1/17/2007,24.588345,0.000759632
1/18/2007,24.700361,0.004545309
1/19/2007,24.719032,0.000755614
1/22/2007,24.793711,0.003016559
1/23/2007,24.737701,-0.002261596
1/24/2007,24.709696,-0.001132719
1/25/2007,24.597679,-0.004543628
1/26/2007,24.663025,0.00265307
1/29/2007,24.607016,-0.002273553
1/30/2007,24.50433,-0.004181769
1/31/2007,24.401644,-0.00419933
2/1/2007,24.326963,-0.003065183
